"Simulation","TargetYear","Quantile","Target_spatial_SD","N","RMSE","MAE","R2_predictive","Bias"
60,2024,0.62650050711818,0.0713822886505917,22593,0.027536096970646,0.0227025348855019,0.851186253182668,7.85620617917767e-18
61,2009,0.665115194628015,0.0951075342797564,22733,0.0478918265595285,0.0368521737021982,0.746421714188811,-6.7481062996238e-18
61,2016,0.49423264968209,0.0722162233720855,22733,0.0277168391808118,0.0231846419986521,0.852688394438665,1.70035309744121e-17
61,2024,0.592077006585896,0.0695398364175793,22593,0.0282567334152584,0.0235208900067954,0.834881474340071,-5.08876609729816e-18
62,2009,0.0948406609240919,0.0583902286909064,22733,0.0431115590213839,0.0370242114574614,0.45483720587521,6.8960209883031e-18
62,2016,0.856036163168028,0.0949019356893571,22733,0.0302391105188947,0.024103973772245,0.898467053954515,-5.40692119424442e-18
62,2024,0.585996939335018,0.0692229808599336,22593,0.028391944217829,0.02366944508709,0.831767888650731,-8.59562001572159e-18
63,2009,0.383969637798145,0.079375367145114,22733,0.0418819983778804,0.0332691141047453,0.721578735456442,-2.13770622853906e-18
63,2016,0.707321176305413,0.0837736606057764,22733,0.0264561711702804,0.0211391483077123,0.90026258631861,6.917238655032e-18
63,2024,0.131595605518669,0.043333876667018,22593,0.0470206388529655,0.0413639307379274,-0.177446513182644,-9.58796937004337e-18
64,2009,0.27438364457339,0.0728508486213947,22733,0.0409824490349535,0.0333082783156512,0.683520423138538,9.60589329657489e-18
64,2016,0.415783402742818,0.0684795178791447,22733,0.0291461372042794,0.0246760947473138,0.818841078558759,-6.62967653981815e-19
64,2024,0.67669191560708,0.0742350754718556,22593,0.0266548689797597,0.0216032424681571,0.871069989392081,4.49552736045324e-18
65,2009,0.814640038879588,0.106329660998346,22733,0.0547858578186814,0.0428522582315834,0.734510604769998,2.12016299990133e-17
65,2016,0.53907835483551,0.0744055302477596,22733,0.0270659469826715,0.0224524156034982,0.867670970898497,6.95676502107423e-18
65,2024,0.0707564940676093,0.0371702206510828,22593,0.0526418015300413,0.0466284443564692,-1.00581295297328,-2.36981290616146e-18
66,2009,0.448516341391951,0.0828057902675194,22733,0.0427715263440299,0.0336675822882971,0.733186874953636,-2.70059544753737e-18
66,2016,0.143262583995238,0.0505888428258705,22733,0.0405750088611568,0.0354708198995997,0.356680285710076,-1.03813592068679e-18
66,2024,0.381990175694227,0.0595990706557874,22593,0.0338556374994386,0.0290513223774235,0.677297567269263,-1.27754274204154e-17
67,2009,0.810064353048801,0.105927577029318,22733,0.0545114287314072,0.0425884365072994,0.735164525783097,4.28372472937554e-18
67,2016,0.507019681856036,0.0728326058836851,22733,0.0275174920990656,0.0229651203135259,0.857247044757505,-1.32614605086381e-18
